,name
434,GumGum
435,Gusto
436,Gympass
437,H&M Group
438,HRL Laboratories
439,HSO
440,Habitat Learn Inc
441,Hadrian
442,Halvik
443,Health at Scale
444,Hello Heart
445,HelloSelf
446,Helloprint
447,Hims & Hers
448,Hinge Health
449,Hitachi Solutions
450,Hitch
451,HolonIQ
452,Homa Games
453,Hometap
454,Hopper
455,Housecall Pro
456,Hubtype
457,Hudl
458,Hugging Face
459,ICEYE
460,ID.me
461,IMT
462,INCELLIGENT
463,IXL Learning
464,Icertis
465,Illuma Technology
466,Illumio
467,Imagen Technologies
468,Imagine.io
469,Impact
470,InDebted
471,InMobi
472,Inbox Business Technologies
473,Infopro Digital
474,Informa Group Plc.
475,Inmarsat
476,InnovaFeed
477,Innovaccer
478,Insite AI
479,Instabase
480,Instacart
481,Instructure
482,Integrated Projects
483,Intelerad
484,"Intellum, Inc."
485,Intercom
486,Interpath Advisory
487,Interpublic Group
488,Intevity
489,Intrinsic
490,Intuita Consulting Ltd
491,Intuition Machines
492,Invision AI
493,Issuu
494,Iterative Health
495,JACOBS DOUWE EGBERTS
496,JDSAT
497,JFrog
498,JUMO
499,Jalasoft
500,Jama Software
501,Jane Street
502,Janes
503,Jellyfish
504,Jetty
505,Jochen Schweizer mydays Group
506,John Snow Labs
507,Junglee Games
508,JupiterOne
509,"Justworks, Inc."
510,K Health
511,KMS Technology
512,KNOREX
513,KPI Solutions
514,KPMG Australia
515,Kaizen Analytix
516,Kaizen Gaming
517,Kalles Group
518,Kambi
519,Katalon
520,Kensho
521,Kin + Carta
522,Kinaxis
523,Kitware
524,Klick
525,KoBold Metals
526,Komodo Health
527,Kooth
528,Kpler
529,Kuda Technologies Ltd
530,Kyruus
531,"Lakeshore Learning Materials, LLC"
532,Lambda
533,Lamini
534,Last Mile Education Fund
535,Learnlight
536,Leidos
537,Lely
538,Lemonade Finance
539,Lendi Group
540,Level AI
541,Libertex Group
542,Lightcast
543,Lightning AI
544,Lightspeed Commerce
545,Liquid Advertising
546,LivePerson
547,Loblaw Digital
548,Locus Robotics
549,Loggi
550,Logibec Inc.
551,Logic20/20 Inc.
552,LoopMe
553,Loyal
554,Lucid Motors
555,Luminar
556,Lunit
557,Lyft
558,Lynx Analytics
559,Lyra Health
560,M-KOPA
561,M47 Labs
562,MATCHESFASHION
563,METRO/MAKRO
564,MONDIAL RELAY
565,MUFG Investor Services
566,Machina Labs
567,Magic Leap
568,Magno IT Recruitment
569,Makro PRO
570,ManpowerGroup Greece
571,Mapbox
572,Marley Spoon
573,Matroid
574,Matterport
575,May Mobility
576,MealSuite
577,Medable
578,Medalogix
579,MediBuddy
580,Media.Monks
581,Mekari
582,Memora Health
583,Mercedes-Benz R&D North America
584,Meritis
585,Meshcapade
586,Metiora
587,Metyis
588,Mila
589,Mindex
590,Mindtickle
591,Mindvalley
592,Minted
593,Miratech
594,Mitek Systems
595,Mixpanel
596,Modulate
597,Moloco
598,Mondia Group
599,Moneyfarm
600,MongoDB
601,Montevideo Labs
602,Monzo
603,Moonpig
604,Moro Tech
605,Motional
606,Motius
607,Motive
608,Motorway
609,Mozilla
610,Mujin Inc
611,Mutt Data
612,MyFitnessPal
613,Myntra
614,Méthode Srl
615,NBCUniversal
616,NT Concepts
617,Nansen
618,Natera
619,Natixis in Portugal
620,Nawy Real Estate
621,Neara
622,Nearmap
623,Neo Cybernetica
624,Neo Financial
625,Netcentric
626,Netcetera
627,Netcompany
628,Netcompany-Intrasoft
629,Nets
630,Netskope
631,Neural Magic
632,Neuralink
633,Next Phase
634,Nextail
635,Nextdoor
636,NiSUS Technologies
637,Nielsen
638,NielsenIQ
639,Nine
640,Noble.AI
641,NobleAI
642,NorthBay Solutions
643,Northbeam
644,NotCo
645,Notion
646,Novetta
647,Noze
648,Nubank
649,Numberly
650,"Nuro, Inc."
651,ODAIA
652,OKX
653,OPPO Research Center
654,OREDATA
655,ORFIUM
656,OUTsurance
657,OZ
658,OceanaGold
659,Ocorian
660,Octopus Energy
661,OfferFit
662,OmniData
663,OnLogic
664,OneGlobe
665,Onera Health
666,Onfido
667,Ontic
668,Open
669,OpenAI
670,OpenSea
671,Openlogix Corporation
672,Opera
673,Oportun
674,Optasia
675,Our Future Health
676,Oura Health Ltd
677,Outreach.io
678,Oviva
679,Oxbotica
680,Oxfam America
681,Oxwash
682,Ozow
683,PA Consulting
684,PEAK6
685,PSI CRO
686,Packt
687,Pagaya
688,Palo Alto Networks
689,PartnerRe
690,PatientPoint
691,Patreon
692,Pattern
693,PayFit
694,PayMongo
695,Payplug
696,Paytm
697,Peek
698,Peloton
699,Pendulum
700,Penguin Formula
701,People Can Fly
702,Perceptyx
703,Petlab Co.
704,PhonePe
705,PicnicHealth
706,Picsart
707,Pindrop
708,Pinecone
709,Pipedrive
710,PitchBook Data
711,Plan-S Satellite and Space Technologies
712,Planet Labs Inc.
713,Plantix
714,PlayStation Global
715,Playvalve
716,Pleo
717,Podium
718,PointClickCare
719,Posh
720,Poshmark
721,PostEra
722,Practiv
723,Precision Medicine Group
724,Precision for Medicine
725,Prevail
726,Previse
727,Prezi
728,Prima
729,Prime Robotics
730,Printify
731,ProCogia
732,Procore Technologies
733,ProducePay
734,Prophecy
735,Prove
736,PubMatic
737,Publicis Groupe
738,Pure Integration
739,Pure Storage
740,Purple Carrot
741,PurposeMed
742,Pythian
743,Qcells
744,Qontigo
745,Qualtrics
746,Quantium
747,QuantumScape
748,"Quartet Health, Inc."
749,QueryClick
750,QuintoAndar
751,Quizlet
752,RCA
753,RVO Health
754,RVU
755,RYTE Corporation
756,Rackspace
757,Raft
758,Ramp
759,Ready Player Me
760,Rec Room
761,Recursion
762,Red Gate Group
763,"Redaptive, Inc."
764,Reinventing Geospatial (RGi)
765,Relativity
766,Relay Graduate School of Education
767,Remitly
768,Renaissance
769,Rest
770,Restaurant365
771,Resultant
772,Ridgeline
773,Riiid Labs
774,"Riot Games, Inc."
775,Ripple
776,Riskified
777,Riverflex
778,Riverside Research
779,Roark Capital
780,Robinhood
781,Roblox
782,Rokt
783,Roofstock
784,RoomRaccoon
785,Roosh
786,SAIT
