,Company,Job Title,Location,Job Type,Experience level,Salary
132,904,104,90,1,5,115000.0
133,274,313,112,1,2,65000.0
134,695,191,90,1,1,59000.0
135,836,191,208,1,3,73000.0
136,563,173,189,1,5,92000.0
137,365,509,210,1,3,51000.0
138,67,316,90,1,5,62000.0
139,981,191,160,1,5,115000.0
140,260,553,210,1,5,69000.0
141,158,358,112,1,5,55000.0
142,876,173,209,1,1,48000.0
143,539,191,172,1,5,115000.0
144,737,268,210,1,2,92000.0
145,71,108,186,1,4,50000.0
146,69,631,73,1,5,69000.0
147,933,542,73,1,5,176000.0
148,158,268,169,1,1,40000.0
149,149,453,210,1,4,189000.0
150,834,191,62,1,1,39000.0
151,641,446,210,1,3,149000.0
152,39,173,189,1,5,92000.0
153,546,750,172,1,5,130000.0
154,1038,173,112,1,1,48000.0
155,532,44,172,1,5,110000.0
156,274,191,172,1,5,115000.0
157,398,446,209,1,5,131000.0
158,1044,268,56,1,1,40000.0
159,912,680,115,1,5,69000.0
160,933,765,209,1,5,62000.0
161,93,166,172,1,1,90000.0
162,959,685,209,1,3,51000.0
163,625,293,95,1,5,110000.0
164,960,268,172,1,5,120000.0
165,1006,51,189,2,1,0.0
166,261,494,210,1,2,73000.0
167,149,191,73,1,5,115000.0
168,389,218,185,1,1,39000.0
169,370,173,210,1,5,92000.0
170,358,877,73,1,5,131000.0
171,274,104,172,1,5,49000.0
172,158,586,95,1,1,105000.0
173,274,191,210,1,5,115000.0
174,834,446,62,1,1,30000.0
175,585,110,172,1,5,131000.0
176,869,191,209,1,5,115000.0
177,969,296,73,1,2,81000.0
178,238,108,112,1,1,35000.0
179,650,461,7,1,1,167000.0
180,698,869,148,1,5,236000.0
181,947,268,209,1,5,129000.0
182,603,191,124,1,5,115000.0
183,46,173,51,1,5,92000.0
184,757,80,172,1,3,77000.0
185,166,189,90,1,5,62000.0
186,916,268,112,1,5,50000.0
187,737,763,210,1,5,69000.0
188,966,268,120,1,1,40000.0
189,285,215,209,1,3,51000.0
190,990,539,210,1,5,131000.0
191,274,541,210,1,5,62000.0
192,548,924,152,1,1,35000.0
193,967,189,130,1,3,135000.0
194,199,173,140,1,3,65000.0
195,274,368,210,1,2,81000.0
196,1049,812,73,1,5,179000.0
197,983,556,210,1,4,100000.0
198,1012,266,198,1,1,35000.0
199,666,691,172,1,5,56000.0
200,46,173,51,1,5,92000.0
201,835,505,210,1,5,80000.0
202,38,219,112,1,5,49000.0
203,650,462,7,1,1,167000.0
204,806,446,73,1,5,200000.0
205,115,446,112,1,1,30000.0
206,158,206,185,2,1,0.0
207,688,104,47,1,5,30000.0
208,286,155,154,1,1,30000.0
209,354,191,172,1,3,73000.0
210,1006,173,189,2,1,0.0
211,963,191,112,1,3,73000.0
212,101,173,90,1,1,48000.0
213,449,191,76,1,5,115000.0
214,986,284,209,1,5,62000.0
215,557,827,148,1,5,139000.0
216,737,191,210,1,5,129000.0
217,13,191,121,1,5,113000.0
218,979,163,191,1,1,59000.0
219,827,117,11,1,2,81000.0
220,526,173,209,1,5,150000.0
221,862,838,86,1,1,39000.0
222,514,83,47,1,3,45000.0
223,641,596,210,1,3,158000.0
224,1063,191,77,1,4,96000.0
225,206,531,112,1,5,55000.0
226,1052,569,172,1,3,40000.0
227,520,648,121,1,5,184000.0
