,Requirment
1089,24
1090,35
1091,97
1092,119
1093,63
1094,80
1095,94
1096,119
1097,120
1098,174
1099,63
1100,107
1101,119
1102,162
1103,249
1104,24
1105,63
1106,85
1107,86
1108,261
1109,16
1110,260
1111,269
1112,24
1113,94
1114,119
1115,120
1116,157
1117,174
1118,63
1119,94
1120,189
1121,238
1122,249
1123,259
1124,43
1125,90
1126,120
1127,123
1128,261
1129,63
1130,84
1131,80
1132,119
1133,161
1134,238
1135,84
1136,119
1137,122
1138,189
1139,191
1140,234
1141,4
1142,33
1143,43
1144,63
1145,65
1146,84
1147,24
1148,86
1149,120
1150,261
1151,92
1152,119
1153,122
1154,162
1155,241
1156,242
1157,63
1158,97
1159,153
1160,154
1161,189
1162,192
1163,15
1164,97
1165,130
1166,189
1167,184
1168,202
1169,189
1170,184
1171,238
1172,241
1173,248
1174,261
1175,63
1176,86
1177,119
1178,120
1179,157
1180,232
1181,16
1182,24
1183,26
1184,15
1185,35
1186,36
1187,65
1188,119
1189,123
1190,157
1191,161
1192,192
1193,16
1194,13
1195,15
1196,50
1197,86
1198,87
1199,116
1200,119
1201,189
1202,192
1203,256
1204,16
1205,23
1206,13
1207,24
1208,15
1209,31
1210,107
1211,114
1212,182
1213,232
1214,256
1215,269
1216,17
1217,24
1218,15
1219,31
1220,35
1221,94
1222,16
1223,13
1224,15
1225,31
1226,65
1227,94
1228,24
1229,15
1230,31
1231,100
1232,102
1233,119
1234,16
1235,24
1236,15
1237,31
1238,36
1239,37
1240,16
1241,24
1242,31
1243,35
1244,42
1245,52
1246,16
1247,31
1248,63
1249,94
1250,91
1251,98
1252,24
1253,63
1254,119
1255,189
1256,249
1257,136
1258,137
1259,229
1260,238
1261,241
1262,248
1263,88
1264,255
1265,267
1266,123
1267,248
1268,273
1269,39
1270,56
1271,63
1272,97
1273,169
1274,189
1275,16
1276,15
1277,31
1278,65
1279,88
1280,119
1281,24
1282,15
1283,35
1284,80
1285,91
1286,119
1287,16
1288,13
1289,15
1290,31
1291,45
1292,119
1293,17
1294,15
1295,92
1296,102
1297,119
1298,152
1299,63
1300,107
1301,116
1302,189
1303,192
1304,184
1305,15
1306,33
1307,84
1308,97
1309,119
1310,121
1311,15
1312,31
1313,36
1314,43
1315,87
1316,90
1317,24
1318,32
1319,58
1320,63
1321,97
1322,119
1323,4
1324,63
1325,84
1326,81
1327,90
1328,189
1329,53
1330,63
1331,88
1332,119
1333,123
1334,189
1335,41
1336,50
1337,84
1338,88
1339,120
1340,238
1341,16
1342,24
1343,61
1344,65
1345,50
1346,80
1347,43
1348,63
1349,84
1350,119
1351,120
1352,192
1353,16
1354,17
1355,24
1356,15
1357,35
1358,63
1359,43
1360,80
1361,86
1362,120
1363,232
1364,239
1365,16
1366,43
1367,86
1368,88
1369,82
1370,90
1371,16
1372,24
1373,15
1374,35
1375,63
1376,87
1377,4
1378,15
1379,80
1380,107
1381,114
1382,123
1383,35
1384,63
1385,86
1386,114
1387,138
1388,211
1389,33
1390,55
1391,84
1392,119
1393,122
1394,147
1395,24
1396,27
1397,58
1398,64
1399,97
1400,119
1401,4
1402,90
1403,116
1404,119
1405,192
1406,232
1407,17
1408,46
1409,63
1410,65
1411,92
1412,87
1413,43
1414,50
1415,90
1416,119
1417,227
1418,235
1419,24
1420,63
1421,80
1422,87
1423,97
1424,100
1425,15
1426,33
1427,114
1428,122
1429,206
1430,238
1431,16
1432,13
1433,31
1434,58
1435,62
1436,63
1437,16
1438,13
1439,24
1440,15
1441,97
1442,98
1443,24
1444,15
1445,31
1446,35
1447,63
1448,85
1449,90
1450,91
1451,83
1452,119
1453,114
1454,220
1455,86
1456,119
1457,157
1458,241
1459,242
1460,33
1461,123
1462,136
1463,13
1464,24
1465,15
1466,32
1467,58
1468,62
1469,24
1470,35
1471,87
1472,116
1473,119
1474,192
1475,31
1476,65
1477,84
1478,98
1479,120
1480,123
1481,17
1482,24
1483,15
1484,42
1485,46
1486,94
1487,119
1488,193
1489,227
1490,238
1491,248
1492,249
1493,50
1494,119
1495,123
1496,189
1497,192
1498,238
1499,16
1500,24
1501,15
1502,35
1503,43
1504,46
1505,26
1506,29
1507,15
1508,31
1509,35
1510,36
1511,24
1512,119
1513,187
1514,216
1515,238
1516,248
1517,16
1518,24
1519,43
1520,84
1521,90
1522,83
1523,36
1524,43
1525,120
1526,130
1527,161
1528,232
1529,33
1530,63
1531,80
1532,86
1533,261
1534,8
1535,13
1536,24
1537,63
1538,65
1539,86
1540,53
1541,80
1542,107
1543,116
1544,119
1545,189
1546,17
1547,24
1548,36
1549,123
1550,122
1551,130
1552,16
1553,13
1554,31
1555,94
1556,87
1557,119
1558,64
1559,65
1560,84
1561,97
1562,149
1563,161
1564,17
1565,24
1566,29
1567,36
1568,88
1569,119
1570,16
1571,65
1572,86
1573,88
1574,16
1575,33
1576,84
1577,119
1578,114
1579,123
1580,43
1581,90
1582,116
1583,120
1584,123
1585,166
1586,16
1587,17
1588,33
1589,87
1590,88
1591,102
1592,16
1593,12
1594,13
1595,15
1596,63
1597,108
1598,13
1599,63
1600,123
1601,277
1602,16
1603,43
1604,63
1605,85
1606,86
1607,89
1608,16
1609,31
1610,63
1611,94
1612,91
1613,98
1614,42
1615,182
1616,238
1617,241
1618,256
1619,269
1620,4
1621,39
1622,63
1623,84
1624,110
1625,119
1626,24
1627,43
1628,85
1629,123
1630,136
1631,232
1632,16
1633,24
1634,15
1635,65
1636,108
1637,119
1638,24
1639,15
1640,35
1641,43
1642,87
1643,88
1644,17
1645,33
1646,35
1647,58
1648,62
1649,65
1650,4
1651,17
1652,36
1653,62
1654,65
1655,82
1656,65
1657,84
1658,261
1659,17
1660,24
1661,26
1662,15
1663,63
1664,106
1665,15
1666,31
1667,63
1668,84
1669,88
1670,90
1671,16
1672,17
1673,13
1674,26
1675,15
1676,31
1677,161
1678,250
1679,273
1680,42
1681,84
1682,88
1683,119
1684,266
1685,24
1686,15
1687,35
1688,63
1689,85
1690,86
1691,16
1692,24
1693,31
1694,32
1695,35
1696,63
1697,50
1698,88
1699,123
1700,264
1701,16
1702,17
1703,33
1704,87
1705,88
1706,102
1707,15
1708,35
1709,63
1710,80
1711,130
1712,263
1713,47
1714,63
1715,64
1716,97
1717,217
1718,227
1719,157
1720,189
1721,63
1722,100
1723,119
1724,141
1725,179
1726,190
1727,51
1728,64
1729,97
1730,119
1731,180
1732,189
1733,13
1734,43
1735,63
1736,116
1737,120
1738,189
1739,16
1740,15
1741,31
1742,52
1743,86
1744,119
1745,84
1746,119
1747,137
1748,180
1749,228
1750,238
1751,24
1752,15
1753,35
1754,63
1755,84
1756,85
1757,16
1758,63
1759,84
1760,86
1761,88
1762,116
1763,15
1764,63
1765,92
1766,90
1767,120
1768,130
1769,16
1770,35
1771,63
1772,65
1773,66
1774,119
1775,24
1776,119
1777,192
1778,216
1779,273
1780,279
1781,16
1782,31
1783,33
1784,98
1785,119
1786,122
1787,16
1788,63
1789,84
1790,86
1791,88
1792,116
1793,13
1794,15
1795,114
1796,164
1797,175
1798,182
1799,119
1800,138
1801,227
1802,248
1803,264
1804,273
1805,16
1806,24
1807,15
1808,31
1809,35
1810,52
1811,84
1812,119
1813,238
1814,241
1815,248
1816,17
1817,15
1818,33
1819,84
1820,94
1821,122
1822,16
1823,13
1824,24
1825,15
1826,31
1827,63
1828,13
1829,24
1830,160
1831,200
1832,261
1833,256
1834,24
1835,86
1836,120
1837,261
1838,16
1839,31
1840,80
1841,94
1842,120
1843,147
1844,55
1845,63
1846,119
1847,189
1848,192
1849,266
1850,17
1851,35
1852,65
1853,66
1854,112
1855,119
1856,15
1857,31
1858,63
1859,85
1860,86
1861,87
1862,39
1863,105
1864,119
1865,136
1866,149
1867,227
1868,13
1869,24
1870,15
1871,31
1872,63
1873,49
1874,116
1875,189
1876,233
1877,238
1878,241
1879,256
1880,24
1881,119
1882,157
1883,193
1884,238
1885,241
1886,39
1887,86
1888,220
1889,248
1890,273
1891,116
1892,119
1893,122
1894,182
1895,192
1896,232
1897,4
1898,33
1899,81
1900,182
1901,238
1902,256
1903,16
1904,17
1905,13
1906,24
1907,26
1908,15
1909,16
1910,31
1911,65
1912,84
1913,98
1914,120
1915,15
1916,33
1917,114
1918,206
1919,238
1920,256
1921,119
1922,232
1923,261
1924,273
1925,12
1926,13
1927,65
1928,84
1929,80
1930,86
1931,33
1932,63
1933,65
1934,123
1935,122
1936,189
1937,4
1938,84
1939,86
1940,90
1941,116
1942,120
1943,4
1944,20
1945,35
1946,43
1947,90
1948,91
1949,63
1950,65
1951,120
1952,189
1953,248
1954,39
1955,56
1956,58
1957,84
1958,81
1959,90
1960,97
1961,100
1962,147
1963,189
1964,184
1965,188
1966,13
1967,24
1968,15
1969,31
1970,35
1971,46
1972,35
1973,63
1974,147
1975,169
1976,189
1977,192
1978,24
1979,14
1980,34
1981,54
1982,119
1983,131
1984,16
1985,24
1986,15
1987,31
1988,43
1989,84
1990,63
1991,117
1992,119
1993,189
1994,256
1995,266
1996,17
1997,15
1998,87
1999,112
2000,119
2001,114
2002,107
2003,119
2004,180
2005,238
2006,249
2007,266
2008,23
2009,26
2010,15
2011,117
2012,167
2013,171
2014,16
2015,24
2016,35
2017,46
2018,63
2019,64
2020,17
2021,13
2022,24
2023,91
2024,83
2025,119
2026,24
2027,15
2028,31
2029,46
2030,63
2031,84
2032,35
2033,42
2034,43
2035,63
2036,80
2037,87
2038,119
2039,136
2040,234
2041,261
2042,273
2043,63
2044,84
2045,86
2046,90
2047,83
2048,114
2049,43
2050,80
2051,232
2052,238
2053,251
2054,256
2055,119
2056,245
2057,276
2058,17
2059,24
2060,14
2061,15
2062,58
2063,63
2064,16
2065,13
2066,31
2067,94
2068,87
2069,119
2070,58
2071,64
2072,97
2073,78
2074,189
2075,227
2076,24
2077,119
2078,157
2079,193
2080,238
2081,241
2082,36
2083,87
2084,90
2085,112
2086,119
2087,114
2088,33
2089,122
2090,189
2091,15
2092,35
2093,80
2094,95
2095,117
2096,120
2097,16
2098,31
2099,63
2100,94
2101,91
2102,112
2103,16
2104,24
2105,43
2106,63
2107,65
2108,84
2109,81
2110,82
2111,182
2112,232
2113,266
2114,63
2115,80
2116,97
2117,119
2118,141
2119,176
2120,116
2121,119
2122,192
2123,238
2124,241
2125,248
2126,65
2127,84
2128,85
2129,261
2130,266
2131,278
2132,24
2133,15
2134,94
2135,122
2136,167
2137,189
2138,24
2139,43
2140,63
2141,84
2142,80
2143,81
2144,15
2145,31
2146,64
2147,97
2148,98
2149,102
2150,33
2151,41
2152,73
2153,84
2154,90
